date,price,open,high,low,vol,change
3/8/2021,35759.9,35797.8,36062.7,35381.5,36.79M,0.00%
4/8/2021,35949.1,35987,36327.6,35759.9,31.63M,0.53%
5/8/2021,36933,35911.3,37084.4,35835.6,38.62M,2.74%
6/8/2021,36630.3,36781.6,37160.1,36554.6,26.13M,-0.82%
9/8/2021,37614.2,36403.2,37614.2,36289.7,39.55M,2.69%
10/8/2021,37387.1,37916.9,38219.6,37160.1,30.31M,-0.60%
11/8/2021,37046.5,37689.8,37689.8,37046.5,28.46M,-0.91%
12/8/2021,36630.3,37008.7,37084.4,36630.3,28.01M,-1.12%
13/08/2021,36819.5,36630.3,36857.3,36100.5,33.55M,0.52%
16/08/2021,37425,37084.4,37462.8,37046.5,28.89M,1.64%
17/08/2021,38143.9,37576.3,38522.3,37538.5,59.13M,1.92%
18/08/2021,38143.9,38219.6,38522.3,37765.5,26.21M,0.00%
19/08/2021,38522.3,38295.3,38825.1,38143.9,35.76M,0.99%
20/08/2021,37084.4,38446.7,38598,36478.9,64.13M,-3.73%
23/08/2021,35949.1,37084.4,37084.4,35949.1,42.67M,-3.06%
24/08/2021,36138.3,36024.8,36516.8,35949.1,28.51M,0.53%
25/08/2021,36630.3,36289.7,36706,35873.5,21.32M,1.36%
26/08/2021,36100.5,36781.6,36781.6,35987,18.02M,-1.45%
27/08/2021,36024.8,35949.1,36214,35381.5,31.84M,-0.21%
30/08/2021,36857.3,36327.6,36895.2,36062.7,22.11M,2.31%
31/08/2021,37311.4,37084.4,37614.2,36933,33.63M,1.23%
1/9/2021,37235.7,37084.4,37500.6,37008.7,19.59M,-0.20%
6/9/2021,38749.4,37462.8,38900.8,37387.1,62.53M,4.07%
7/9/2021,38371,39052.1,39354.9,38295.3,40.62M,-0.98%
8/9/2021,38825.1,38371,39279.2,38143.9,42.95M,1.18%
9/9/2021,39279.2,39052.1,39657.6,38976.4,47.73M,1.17%
10/9/2021,38976.4,39354.9,39506.2,38900.8,22.38M,-0.77%
13/09/2021,38446.7,38976.4,38976.4,38371,35.40M,-1.36%
14/09/2021,38068.3,38446.7,38598,37992.6,29.16M,-0.98%
15/09/2021,39052.1,37916.9,39354.9,37765.5,33.68M,2.58%
16/09/2021,38825.1,39354.9,39581.9,38825.1,23.38M,-0.58%
17/09/2021,39203.5,38900.8,39354.9,38825.1,31.91M,0.97%
20/09/2021,38825.1,39657.6,39657.6,38522.3,42.03M,-0.97%
21/09/2021,38446.7,38295.3,38749.4,37992.6,37.50M,-0.97%
