date,price,Open,High,Low,Vol.,Change %
12/19/2016,5900,5940,5940,5860,4.28M,2.08%
12/20/2016,5640,5800,5850,5640,2.19M,-4.41%
12/21/2016,5610,5640,5700,5600,2.01M,-0.53%
12/22/2016,5530,5670,5670,5350,2.68M,-1.43%
12/23/2016,5510,5500,5530,5470,1.77M,-0.36%
12/26/2016,5460,5550,5580,5440,1.36M,-0.91%
12/27/2016,5350,5410,5450,5350,1.96M,-2.01%
12/28/2016,5360,5450,5520,5340,3.25M,0.19%
12/29/2016,5360,5460,5460,5320,1.82M,0.00%
12/30/2016,5350,5400,5550,5350,3.66M,-0.19%
1/3/2017,5350,5380,5420,5340,1.85M,0.00%
1/4/2017,5500,5440,5680,5420,5.37M,2.80%
1/5/2017,5400,5570,5570,5390,3.57M,-1.82%
1/6/2017,5360,5390,5470,5360,3.21M,-0.74%
1/9/2017,5230,5360,5380,5230,5.86M,-2.43%
1/10/2017,5220,5230,5300,5180,3.99M,-0.19%
1/11/2017,5180,5260,5350,5170,5.06M,-0.77%
1/12/2017,5210,5180,5240,4900,14.42M,0.58%
1/13/2017,5080,5100,5190,5080,2.59M,-2.50%
1/16/2017,5080,5100,5170,5080,1.66M,0.00%
1/17/2017,5060,5080,5090,5050,1.85M,-0.39%
1/18/2017,4960,5050,5060,4960,2.85M,-1.98%
1/19/2017,4970,4960,5010,4950,1.89M,0.20%
1/20/2017,5090,4960,5120,4960,2.37M,2.41%
1/23/2017,5420,5190,5430,5140,5.11M,6.48%
1/24/2017,5790,5450,5790,5450,9.26M,6.83%
1/25/2017,5600,5900,5900,5570,6.53M,-3.28%
2/2/2017,5990,5770,5990,5720,10.50M,6.96%
2/3/2017,5840,6000,6100,5800,4.92M,-2.50%
2/6/2017,5920,5820,5920,5750,3.97M,1.37%
2/7/2017,6090,5910,6190,5910,5.75M,2.87%
2/8/2017,6160,6090,6250,6090,6.48M,1.15%
2/9/2017,5950,6160,6240,5950,8.57M,-3.41%
2/10/2017,6060,5910,6140,5780,6.68M,1.85%
2/13/2017,6240,6060,6370,6060,9.86M,2.97%
2/14/2017,6520,6540,6670,6500,10.84M,4.49%
2/15/2017,6800,6520,6940,6510,10.28M,4.29%
2/16/2017,7050,6890,7270,6800,20.80M,3.68%
2/17/2017,7240,7000,7240,6950,10.52M,2.70%
2/20/2017,7740,7230,7740,7180,14.36M,6.91%
2/21/2017,8200,7980,8280,7900,11.60M,5.94%
2/22/2017,8120,8190,8260,8000,11.55M,-0.98%
2/23/2017,8140,8120,8490,8080,10.58M,0.25%
2/24/2017,7580,8140,8240,7580,14.28M,-6.88%
2/27/2017,8110,7520,8110,7350,13.48M,6.99%
2/28/2017,8180,8300,8450,8130,6.53M,0.86%
3/1/2017,8150,8000,8250,7930,8.02M,-0.37%
3/2/2017,7910,8150,8210,7910,6.01M,-2.94%
3/3/2017,8050,7810,8050,7670,4.61M,1.77%
3/6/2017,8070,8150,8200,8070,6.01M,0.25%
3/7/2017,8010,8070,8080,7990,3.86M,-0.74%
3/8/2017,8040,8000,8130,7880,6.17M,0.37%
3/9/2017,8300,8040,8490,8010,11.30M,3.23%
3/10/2017,8340,8300,8490,8270,5.74M,0.48%
3/13/2017,8210,8340,8340,8170,4.22M,-1.56%
3/14/2017,8230,8180,8300,8150,3.22M,0.24%
3/15/2017,8290,8210,8320,8200,5.55M,0.73%
3/16/2017,8870,8310,8870,8300,23.17M,7.00%
3/17/2017,9100,9150,9290,9000,12.66M,2.59%
3/20/2017,9110,9200,9330,9110,5.87M,0.11%
3/21/2017,9320,9100,9350,9010,7.90M,2.31%
3/22/2017,9680,9450,9970,9400,14.88M,3.86%
3/23/2017,10100,9700,10250,9680,10.65M,4.34%
3/24/2017,9900,10100,10350,9700,12.78M,-1.98%
3/27/2017,9900,9650,10100,9500,13.17M,0.00%
3/28/2017,9650,9900,9900,9580,15.34M,-2.53%
3/29/2017,9200,9600,9650,8980,15.57M,-4.66%
3/30/2017,9060,9100,9400,8880,8.21M,-1.52%
3/31/2017,9150,9010,9190,9010,4.30M,0.99%
4/3/2017,9050,9170,9180,9020,3.40M,-1.09%
4/4/2017,9600,9050,9650,9050,5.94M,6.08%
4/5/2017,9350,9600,9680,9350,5.09M,-2.60%
4/7/2017,9250,9400,9400,9200,2.34M,-1.07%
4/10/2017,9190,9230,9390,9190,2.99M,-0.65%
4/11/2017,9140,9300,9420,9140,6.05M,-0.54%
4/12/2017,8600,9110,9140,8510,12.34M,-5.91%
4/13/2017,8600,8610,8790,8500,5.47M,0.00%
4/14/2017,8200,8600,8600,8200,8.02M,-4.65%
4/17/2017,8120,8200,8440,8120,5.03M,-0.98%
4/18/2017,8050,8120,8150,7850,5.66M,-0.86%
4/19/2017,8070,8020,8280,8000,4.88M,0.25%
4/20/2017,8160,8070,8240,8040,2.52M,1.12%
4/21/2017,8290,8160,8350,8100,3.64M,1.59%
4/24/2017,8680,8300,8850,8300,6.80M,4.70%
4/25/2017,8530,8750,8770,8510,3.27M,-1.73%
4/26/2017,8790,8550,8790,8540,3.84M,3.05%
4/27/2017,8710,8810,8900,8700,2.56M,-0.91%
4/28/2017,8650,8610,8710,8580,3.88M,-0.69%
5/3/2017,9000,8610,9000,8480,4.32M,4.05%
5/4/2017,9420,9180,9570,9150,11.58M,4.67%
5/5/2017,9100,9500,9540,9100,9.48M,-3.40%
5/8/2017,8500,9050,9060,8470,16.51M,-6.59%
5/9/2017,8900,8400,8950,8200,7.10M,4.71%
5/10/2017,8690,8800,9010,8690,4.98M,-2.36%
5/11/2017,8520,8600,8640,8500,3.13M,-1.96%
5/12/2017,8660,8590,8760,8580,3.03M,1.64%
5/15/2017,8810,8750,8890,8690,4.38M,1.73%
5/16/2017,8940,8890,9180,8890,7.62M,1.48%
5/17/2017,8960,8950,9070,8800,2.96M,0.22%
5/18/2017,8800,9000,9000,8780,3.72M,-1.79%
5/19/2017,9000,8870,9000,8780,3.58M,2.27%
5/22/2017,9050,9400,9400,9050,6.53M,0.56%
5/23/2017,8900,9000,9100,8800,3.64M,-1.66%
5/24/2017,8830,8900,9010,8780,3.34M,-0.79%
5/25/2017,8800,8880,8950,8750,3.75M,-0.34%
5/26/2017,9000,8800,9000,8770,4.26M,2.27%
5/29/2017,9080,9030,9290,9030,5.46M,0.89%
5/30/2017,8820,9080,9100,8810,3.98M,-2.86%
5/31/2017,8700,8820,8900,8700,2.93M,-1.36%
6/1/2017,8800,8720,8800,8700,2.81M,1.15%
6/2/2017,8920,8800,8950,8750,1.64M,1.36%
6/5/2017,8300,8600,8700,8300,11.31M,-6.95%
6/6/2017,8580,8300,8580,8230,3.40M,3.37%
6/7/2017,8570,8690,8690,8570,2.52M,-0.12%
6/8/2017,8220,8500,8550,8200,3.76M,-4.08%
6/9/2017,8220,8220,8400,8060,3.96M,0.00%
6/12/2017,8360,8250,8400,8200,1.16M,1.70%
6/13/2017,8550,8400,8590,8400,3.23M,2.27%
6/14/2017,9140,8750,9140,8710,11.20M,6.90%
6/15/2017,9050,9290,9450,8950,9.16M,-0.98%
6/16/2017,9170,9100,9250,9010,14.80M,1.33%
6/19/2017,9050,9400,9400,9020,4.81M,-1.31%
6/20/2017,9060,9050,9070,8990,2.84M,0.11%
6/21/2017,9150,9200,9200,9050,6.51M,0.99%
6/22/2017,9560,9250,9680,9180,7.81M,4.48%
6/23/2017,9780,9600,9870,9600,6.29M,2.30%
6/26/2017,9700,9800,9850,9650,5.19M,-0.82%
6/27/2017,9350,9660,9690,9350,6.77M,-3.61%
6/28/2017,9490,9300,9490,9250,2.39M,1.50%
6/29/2017,9600,9590,9640,9510,3.48M,1.16%
6/30/2017,9480,9600,9760,9400,5.81M,-1.25%
7/3/2017,9100,9490,9500,9020,7.03M,-4.01%
7/4/2017,9220,9100,9220,9020,3.84M,1.32%
7/5/2017,9180,9170,9220,9080,2.52M,-0.43%
7/6/2017,9100,9180,9180,9090,2.70M,-0.87%
7/7/2017,9000,9070,9100,9000,3.43M,-1.10%
7/10/2017,8800,8990,8990,8720,3.78M,-2.22%
7/11/2017,9200,8800,9200,8720,5.87M,4.55%
7/12/2017,9250,9300,9430,9210,6.39M,0.54%
7/13/2017,9560,9250,9700,9200,9.28M,3.35%
7/14/2017,9400,9650,9700,9360,5.13M,-1.67%
7/17/2017,9220,9400,9400,9170,3.06M,-1.91%
7/18/2017,9070,9010,9180,8900,3.08M,-1.63%
7/19/2017,9080,9100,9180,9070,2.20M,0.11%
7/20/2017,9100,9080,9180,9050,2.62M,0.22%
7/21/2017,9010,9150,9170,9010,2.64M,-0.99%
7/24/2017,8990,9010,9030,8850,2.46M,-0.22%
7/25/2017,8980,8900,9000,8870,2.07M,-0.11%
7/26/2017,9100,8980,9120,8980,2.38M,1.34%
7/27/2017,9070,9100,9190,9040,2.08M,-0.33%
7/28/2017,9200,9070,9390,9070,2.31M,1.43%
7/31/2017,9410,9300,9520,9200,7.13M,2.28%
8/1/2017,9450,9680,9800,9420,7.78M,0.43%
8/2/2017,9250,9450,9500,9220,4.00M,-2.12%
8/3/2017,9220,9200,9340,9150,4.00M,-0.32%
8/4/2017,9130,9230,9250,9100,3.04M,-0.98%
8/7/2017,9150,9270,9270,9110,2.30M,0.22%
8/8/2017,9080,9150,9180,9080,3.44M,-0.77%
8/9/2017,8990,9100,9100,8900,5.32M,-0.99%
8/10/2017,8950,8970,9090,8900,3.00M,-0.44%
8/11/2017,8800,8950,8950,8780,3.66M,-1.68%
8/14/2017,8900,8800,8900,8740,2.53M,1.14%
8/15/2017,8900,8940,8940,8810,1.58M,0.00%
8/16/2017,8890,8900,8900,8830,2.41M,-0.11%
8/17/2017,8400,8830,8900,8400,5.59M,-5.51%
8/18/2017,8400,8200,8400,8060,2.90M,0.00%
8/21/2017,8600,8700,8780,8600,2.46M,2.38%
8/22/2017,8520,8520,8600,8470,1.41M,-0.93%
8/23/2017,8350,8400,8510,8350,1.52M,-2.00%
8/24/2017,8450,8400,8550,8320,2.29M,1.20%
8/25/2017,8480,8500,8550,8400,1.54M,0.36%
8/28/2017,8400,8480,8480,8400,2.62M,-0.94%
8/29/2017,8590,8400,8670,8400,3.27M,2.26%
8/30/2017,8590,8590,8600,8480,1.66M,0.00%
8/31/2017,8490,8500,8580,8490,1.11M,-1.16%
9/1/2017,8420,8500,8500,8400,1.26M,-0.82%
9/5/2017,8390,8480,8480,8380,1.17M,-0.36%
9/6/2017,8310,8470,8470,8300,2.13M,-0.95%
9/7/2017,8420,8310,8420,8300,1.59M,1.32%
9/8/2017,8410,8410,8500,8370,2.19M,-0.12%
9/11/2017,8320,8410,8410,8290,1.38M,-1.07%
9/12/2017,8260,8300,8310,8190,2.43M,-0.72%
9/13/2017,8310,8260,8430,8160,3.73M,0.61%
9/14/2017,8350,8400,8460,8320,2.14M,0.48%
9/15/2017,8370,8350,8370,8290,1.66M,0.24%
9/18/2017,8330,8340,8400,8300,1.58M,-0.48%
9/19/2017,8280,8310,8340,8280,1.50M,-0.60%
9/20/2017,8350,8300,8550,8290,3.22M,0.85%
9/21/2017,8400,8400,8470,8360,1.18M,0.60%
9/22/2017,8400,8410,8500,8370,3.18M,0.00%
9/25/2017,8360,8470,8470,8360,1.11M,-0.48%
9/26/2017,8800,8420,8850,8420,5.91M,5.26%
9/27/2017,8690,8820,8960,8690,3.47M,-1.25%
9/28/2017,8530,8700,8790,8500,2.77M,-1.84%
9/29/2017,8400,8490,8530,8400,2.43M,-1.52%
10/2/2017,8350,8400,8430,8330,1.81M,-0.60%
10/3/2017,8250,8350,8400,8200,1.85M,-1.20%
10/4/2017,8380,8250,8380,8250,807.79K,1.58%
10/5/2017,8300,8380,8440,8290,1.18M,-0.95%
